RK,Name,Team,POS.RK,REAL_TIME_ADP
139,N. Harris,LAC (12),RB46,138.7
140,J. Blue,DAL (10),RB47,139.7
141,M. Vikings,MIN (6),DST6,140.8
142,R. White,TB (9),RB48,141
143,H. Texans,HOU (6),DST7,141.2
144,D. Mooney,ATL (5),WR52,141.4
145,J.J. McCarthy,MIN (6),QB19,142.2
146,B. Aiyuk,SF (14),WR53,142.4
147,T. Spears,TEN (10),RB49,142.6
148,T. Benson,ARI (8),RB50,143.3
149,T. Allgeier,ATL (5),RB51,144
150,R. Davis,BUF (7),RB52,144.3
151,R. Bateman,BAL (7),WR54,144.3
152,K. Allen,LAC (12),WR55,144.4
153,K. Fairbairn,HOU (6),K4,145
154,T. Lawrence,JAC (8),QB20,145.2
155,J. Ford,CLE (9),RB53,145.4
156,C. Boswell,PIT (5),K5,146.2
157,J. Higgins,HOU (6),WR56,146.5
158,M. Mims Jr.,DEN (12),WR57,146.8
159,D. Sampson,CLE (9),RB54,147.8
160,K. City Chiefs,KC (10),DST8,147.8
161,C. Kirk,HOU (6),WR58,148.1
162,D. Lions,DET (8),DST9,148.5
163,H. Butker,KC (10),K6,149.2
164,C. McLaughlin,TB (9),K7,149.4
165,H. Henry,NE (14),TE17,150
166,Z. Ertz,WAS (12),TE18,150.5
167,J. Smith,PIT (5),TE19,152.6
168,S. Francisco 49ers,SF (14),DST10,153
169,W. Lutz,DEN (12),K8,154.1
170,I. Guerendo,SF (14),RB55,154.2
171,L. Burden III,CHI (5),WR59,154.6
172,E. McPherson,CIN (10),K9,154.8
173,J. Elliott,PHI (9),K10,155.4
174,C. Ward,TEN (10),QB21,158
175,M. Penix Jr.,ATL (5),QB22,158.1
176,L. Angeles Chargers,LAC (12),DST11,158.8
177,T. Tagovailoa,MIA (12),QB23,159.1
178,R. Dowdle,CAR (14),RB56,159.1
179,T. Harris,LAC (12),WR60,159.2
180,C. Tillman,CLE (9),WR61,159.5
181,J. Sanders,MIA (12),K11,159.6
182,O. Gordon II,MIA (12),RB57,160.1
183,M. Stafford,LAR (8),QB24,160.3
184,A. Thielen,CAR (14),WR62,160.4
185,J. Wright,MIA (12),RB58,160.8
186,J. Palmer,BUF (7),WR63,161.2
187,M. Brown,KC (10),WR64,161.3
188,B. Young,CAR (14),QB25,161.4
189,K. Hunt,KC (10),RB59,161.6
190,G. Smith,LV (8),QB26,161.8
191,C. Bears,CHI (5),DST12,161.9
192,C. Little,JAC (8),K12,162
193,W. Robinson,NYG (14),WR65,162.1
194,B. Strange,JAC (8),TE20,162.6
195,D. Douglas,NE (14),WR66,162.7
196,D. Hopkins,BAL (7),WR67,162.8
197,W. Shipley,PHI (9),RB60,162.8
198,R. Doubs,GB (5),WR68,162.8
199,C. Okonkwo,TEN (10),TE21,162.9
200,T. Bass,BUF (7),K13,163
201,S. Seahawks,SEA (8),DST13,163
202,D. Cowboys,DAL (10),DST14,163.7
203,K. Williams,NE (14),WR69,163.8
204,G. Bay Packers,GB (5),DST15,163.8
205,I. Likely,BAL (7),TE22,163.9
206,K. Monangai,CHI (5),RB61,164.1
207,R. Johnson,CHI (5),RB62,164.1
208,Y. Koo,ATL (5),K14,164.2
209,M. Gay,WAS (12),K15,164.3
210,M. Taylor,NYJ (9),TE23,164.4
211,S. Darnold,SEA (8),QB27,164.5
212,L. Angeles Rams,LAR (8),DST16,164.5
213,X. Legette,CAR (14),WR70,164.6
214,B. Corum,LAR (8),RB63,164.8
215,C. Bengals,CIN (10),DST17,165
216,A. Rodgers,PIT (5),QB28,165.3
217,D. Waller,MIA (12),TE24,165.5
218,W. Marks,HOU (6),RB64,165.6
219,W. Commanders,WAS (12),DST18,165.6
220,M. Sanders,DAL (10),RB65,165.7
221,N. York Jets,NYJ (9),DST19,165.8
222,N. York Giants,NYG (14),DST20,165.9
223,P. Freiermuth,PIT (5),TE25,166
224,T. Bay Buccaneers,TB (9),DST21,166
225,T. Loop,BAL (7),K16,166
226,A. Pierce,IND (11),WR71,166
227,D. Schultz,HOU (6),TE26,166.3
228,W. Reichard,MIN (6),K17,166.4
229,P. Bryant,DEN (12),WR72,166.7
230,C. Browns,CLE (9),DST22,166.7
231,C. Otton,TB (9),TE27,166.7
232,Q. Johnston,LAC (12),WR73,166.8
233,J. Hunter,LAR (8),RB66,166.8
234,T. Brooks,CIN (10),RB67,166.8
235,D. Slayton,NYG (14),WR74,166.9
236,E. Arroyo,SEA (8),TE28,166.9
237,A. Cardinals,ARI (8),DST23,166.9
238,J. Dart,NYG (14),QB29,167.1
239,C. Kmet,CHI (5),TE29,167.2
240,M. Lloyd,GB (5),RB68,167.2
241,K. Mitchell,BAL (7),RB69,167.3
242,J. Hill,BAL (7),RB70,167.3
243,A. Richardson Sr.,IND (11),QB30,167.4
244,M. Gesicki,CIN (10),TE30,167.4
245,D. Carlson,LV (8),K18,167.4
246,T. Lockett,TEN (10),WR75,167.5
247,J. McLaughlin,DEN (12),RB71,167.5
248,J. Sanders,CAR (14),TE31,167.5
