PLAYER,PASSING_ATT,PASSING_ATT_HIGH,PASSING_ATT_LOW,PASSING_CMP,PASSING_CMP_HIGH,PASSING_CMP_LOW,PASSING_YDS,PASSING_YDS_HIGH,PASSING_YDS_LOW,PASSING_TDS,PASSING_TDS_HIGH,PASSING_TDS_LOW,PASSING_INTS,RUSHING_ATT,RUSHING_ATT_HIGH,RUSHING_ATT_LOW,RUSHING_YDS,RUSHING_YDS_HIGH,RUSHING_YDS_LOW,RUSHING_TDS,RUSHING_TDS_HIGH,RUSHING_TDS_LOW,MISC_FL,MISC_FPTS,MISC_FPTS_HIGH,MISC_FPTS_LOW,POSITION,SCRAPE_DATE,DATA_TYPE,RECEIVING_REC,RECEIVING_REC_HIGH,RECEIVING_REC_LOW,RECEIVING_YDS,RECEIVING_YDS_HIGH,RECEIVING_YDS_LOW,RECEIVING_TDS,RECEIVING_TDS_HIGH,RECEIVING_TDS_LOW,MISC_FL_HIGH,MISC_FL_LOW,FG,FG_HIGH,FG_LOW,FGA,FGA_HIGH,FGA_LOW,XPT,XPT_HIGH,XPT_LOW,FPTS,FPTS_HIGH,FPTS_LOW,FPTS_ENVELOPE_WIDTH,SACK,SACK_HIGH,SACK_LOW,INT,INT_HIGH,INT_LOW,FR,FR_HIGH,FR_LOW,FF,FF_HIGH,FF_LOW,TD,TD_HIGH,TD_LOW,SAFETY,SAFETY_HIGH,SAFETY_LOW,PA,PA_HIGH,PA_LOW,YDS_AGN
Justin Herbert LAC,539.5,571.6,498.0,353.8,374.0,329.0,3973.0,4160.8,3745.0,25.8,29.0,24.0,,65.4,71.2,63.0,271.9,321.8,234.0,2.6,3.6,2.0,,291.4,333.5,276.6,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Williams CHI,565.2,583.0,553.6,359.1,365.0,352.1,3783.5,3911.1,3720.0,23.7,25.0,21.9,,86.6,100.8,74.8,469.3,577.0,384.0,2.4,4.0,1.0,,288.3,339.0,280.4,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Goff DET,550.7,587.4,525.0,380.9,395.1,362.0,4355.9,4499.9,4221.0,30.1,34.3,26.3,,30.3,36.0,19.5,61.5,74.7,47.0,0.5,1.0,0.0,,286.5,337.3,260.5,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Stroud HOU,559.8,580.8,535.0,359.9,374.7,349.0,4067.3,4381.5,3893.0,25.0,27.0,22.0,,58.7,80.9,50.0,257.0,378.0,196.0,1.7,3.6,1.0,,280.5,313.1,272.2,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Love GB,510.5,549.3,471.0,327.5,348.9,302.0,3915.3,4039.4,3582.0,27.7,31.4,26.0,,41.5,50.8,33.0,166.8,235.3,126.0,1.9,2.5,1.0,,278.2,313.0,258.9,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Maye NE,519.4,533.5,499.0,347.2,355.0,330.0,3585.3,3708.0,3395.0,22.4,25.0,20.0,,75.0,79.0,69.6,478.1,571.0,338.8,3.0,4.0,2.3,,276.5,315.0,260.2,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Lawrence JAC,553.5,591.8,529.0,355.2,383.9,333.0,3996.8,4275.3,3841.0,23.3,26.0,22.0,,54.5,59.9,50.0,252.4,283.5,233.0,3.0,4.0,2.0,,275.5,316.5,271.4,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Young CAR,557.9,589.0,539.0,355.1,373.1,341.5,3642.3,3903.0,3428.0,21.5,25.0,18.4,,52.9,64.3,47.0,294.2,310.6,277.0,3.5,4.0,2.8,,263.5,308.2,248.6,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Penix Jr. ATL,541.5,558.0,528.0,347.1,352.0,342.0,3913.8,4130.0,3610.0,23.5,25.0,22.6,,51.8,63.9,44.0,196.2,296.5,88.0,2.1,2.9,1.0,,263.2,313.3,238.2,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tua Tagovailoa MIA,577.2,601.1,540.0,400.6,417.0,372.0,4153.1,4578.1,3886.0,26.1,28.0,23.0,,26.8,35.5,18.7,85.8,103.5,52.0,0.5,1.0,0.0,,262.3,299.0,248.6,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
