PLAYER,PASSING_ATT,PASSING_ATT_HIGH,PASSING_ATT_LOW,PASSING_CMP,PASSING_CMP_HIGH,PASSING_CMP_LOW,PASSING_YDS,PASSING_YDS_HIGH,PASSING_YDS_LOW,PASSING_TDS,PASSING_TDS_HIGH,PASSING_TDS_LOW,PASSING_INTS,RUSHING_ATT,RUSHING_ATT_HIGH,RUSHING_ATT_LOW,RUSHING_YDS,RUSHING_YDS_HIGH,RUSHING_YDS_LOW,RUSHING_TDS,RUSHING_TDS_HIGH,RUSHING_TDS_LOW,MISC_FL,MISC_FPTS,MISC_FPTS_HIGH,MISC_FPTS_LOW,POSITION,SCRAPE_DATE,DATA_TYPE,RECEIVING_REC,RECEIVING_REC_HIGH,RECEIVING_REC_LOW,RECEIVING_YDS,RECEIVING_YDS_HIGH,RECEIVING_YDS_LOW,RECEIVING_TDS,RECEIVING_TDS_HIGH,RECEIVING_TDS_LOW,MISC_FL_HIGH,MISC_FL_LOW,FG,FG_HIGH,FG_LOW,FGA,FGA_HIGH,FGA_LOW,XPT,XPT_HIGH,XPT_LOW,FPTS,FPTS_HIGH,FPTS_LOW,FPTS_ENVELOPE_WIDTH,SACK,SACK_HIGH,SACK_LOW,INT,INT_HIGH,INT_LOW,FR,FR_HIGH,FR_LOW,FF,FF_HIGH,FF_LOW,TD,TD_HIGH,TD_LOW,SAFETY,SAFETY_HIGH,SAFETY_LOW,PA,PA_HIGH,PA_LOW,YDS_AGN
Quinn Ewers MIA,9.0,18.0,0.0,6.5,13.0,0.0,108.7,200.0,0.0,0.7,1.0,0.0,,1.0,2.0,0.0,7.7,14.0,0.0,,,,,7.4,8.0,0.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirk Cousins ATL,12.8,22.0,5.6,8.3,14.0,3.7,129.7,231.0,42.8,0.7,1.0,0.2,,1.7,5.0,0.0,6.1,22.0,0.0,,,,,7.3,11.4,2.4,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Lance LAC,10.0,20.0,0.0,6.0,12.0,0.0,109.0,187.0,0.0,0.3,1.0,0.0,,2.0,4.0,0.0,16.0,31.0,0.0,,,,,7.0,12.6,0.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deshaun Watson CLE,,,,,,,99.0,198.0,0.0,0.5,1.0,0.0,,,,,12.0,24.0,0.0,,,,,6.7,12.3,0.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case Keenum CHI,14.4,23.0,5.7,8.7,14.0,3.5,91.9,147.0,36.8,0.6,1.0,0.2,,1.1,2.0,0.3,2.4,4.0,0.8,,,,,6.3,8.0,2.1,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Haener NO,11.0,22.0,0.0,6.5,13.0,0.0,68.5,137.0,0.0,0.5,1.0,0.0,,2.5,5.0,0.0,11.5,23.0,0.0,,,,,5.4,7.0,0.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Johnson WAS,10.5,21.0,0.0,7.5,15.0,0.0,64.5,129.0,0.0,0.5,1.0,0.0,,2.5,5.0,0.0,4.0,8.0,0.0,,,,,5.0,8.0,0.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Miller LV,9.0,18.0,0.0,6.0,12.0,0.0,61.5,123.0,0.0,0.5,1.0,0.0,,1.0,2.0,0.0,3.5,7.0,0.0,,,,,4.8,8.0,0.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graham Mertz HOU,8.0,16.0,0.0,5.5,11.0,0.0,59.5,119.0,0.0,0.5,1.0,0.0,,1.0,2.0,0.0,4.0,8.0,0.0,,,,,4.8,8.0,0.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle McCord PHI,6.5,13.0,0.0,4.5,9.0,0.0,51.5,103.0,0.0,0.5,1.0,0.0,,1.5,3.0,0.0,7.0,14.0,0.0,,,,,4.8,8.0,0.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Howard PIT,8.0,16.0,0.0,5.0,10.0,0.0,57.0,114.0,0.0,0.5,1.0,0.0,,1.0,2.0,0.0,4.0,8.0,0.0,,,,,4.7,8.0,0.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton Tune ARI,9.5,19.0,0.0,6.5,13.0,0.0,39.0,78.0,0.0,0.5,1.0,0.0,,2.5,5.0,0.0,3.0,6.0,0.0,,,,,2.9,5.0,0.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Heinicke LAC,5.6,5.7,0.6,3.5,3.5,0.5,38.9,38.9,8.9,,,,,,,,2.1,2.1,0.1,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Huntley CLE,,,,,,,47.0,94.0,0.0,,,,,,,,3.5,7.0,0.0,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Allen DET,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike White BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Siemian TEN,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brett Rypien MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easton Stick ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Woodside PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teddy Bridgewater TB,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben DiNucci ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Wolford JAC,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Ehlinger DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmond Ridder CIN,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey Zappe KC,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skylar Thompson PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Oladokun KC,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Buechele BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stetson Bennett IV LAR,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Clifford GB,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorian Thompson-Robinson PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy DeVito NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Leary BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Pratt TB,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurtis Rourke SF,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riley Leonard IND,,,,,,,,,,,,,,,,,,,,,,,,,,,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saquon Barkley PHI,,,,,,,,,,,,,,327.8,334.0,319.0,1667.2,1797.0,1590.7,10.8,11.1,10.0,,273.7,303.2,262.0,RB,2025-08-22 10:37:50,ENVELOPE,41.9,53.7,31.0,317.9,383.8,232.0,2.2,2.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bijan Robinson ATL,,,,,,,,,,,,,,304.1,334.7,284.0,1418.7,1542.1,1348.0,11.4,12.0,11.0,,264.4,309.4,243.0,RB,2025-08-22 10:37:50,ENVELOPE,57.7,62.5,54.2,438.4,489.8,410.4,2.2,2.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahmyr Gibbs DET,,,,,,,,,,,,,,240.0,261.3,226.0,1239.8,1285.0,1153.6,11.7,12.6,10.8,,258.7,303.5,248.0,RB,2025-08-22 10:37:50,ENVELOPE,57.7,60.4,56.0,506.9,567.9,445.0,2.8,3.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Henry BAL,,,,,,,,,,,,,,302.0,326.1,275.0,1534.7,1575.0,1455.4,13.5,14.8,13.0,,252.3,265.5,238.9,RB,2025-08-22 10:37:50,ENVELOPE,16.4,22.0,7.9,152.5,201.0,72.4,0.9,1.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian McCaffrey SF,,,,,,,,,,,,,,243.5,264.0,217.0,1103.9,1188.8,972.0,8.0,9.0,7.0,,232.2,297.2,203.0,RB,2025-08-22 10:37:50,ENVELOPE,65.0,82.2,52.0,564.1,725.4,435.0,3.5,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Taylor IND,,,,,,,,,,,,,,310.4,341.8,291.8,1412.1,1577.6,1320.0,10.6,12.9,9.0,,230.1,255.5,210.0,RB,2025-08-22 10:37:50,ENVELOPE,28.6,34.0,20.0,205.1,255.0,145.0,1.3,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Jacobs GB,,,,,,,,,,,,,,290.6,303.0,279.0,1232.4,1327.0,1155.0,11.5,13.0,10.5,,229.2,258.0,226.1,RB,2025-08-22 10:37:50,ENVELOPE,37.9,41.6,31.9,315.9,375.0,266.1,1.5,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Jeanty LV,,,,,,,,,,,,,,272.8,301.0,245.3,1219.7,1355.0,1112.0,9.0,10.0,7.5,,218.5,269.7,199.0,RB,2025-08-22 10:37:50,ENVELOPE,45.9,62.7,32.7,362.4,482.7,245.4,1.9,2.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyren Williams LAR,,,,,,,,,,,,,,284.5,312.7,244.3,1223.7,1377.2,1086.4,11.5,12.2,10.1,,217.9,243.7,214.0,RB,2025-08-22 10:37:50,ENVELOPE,33.7,35.7,30.0,213.6,235.4,193.0,1.7,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Von Achane MIA,,,,,,,,,,,,,,214.2,264.1,155.0,1000.7,1275.8,787.0,7.4,9.0,5.0,,215.2,267.8,175.0,RB,2025-08-22 10:37:50,ENVELOPE,68.3,74.3,62.3,503.1,559.7,408.7,3.9,6.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucky Irving TB,,,,,,,,,,,,,,241.6,263.2,230.0,1137.3,1235.3,1041.0,8.5,9.0,8.0,,206.3,238.5,195.0,RB,2025-08-22 10:37:50,ENVELOPE,44.5,53.5,37.9,343.8,410.2,280.0,1.7,2.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Cook BUF,,,,,,,,,,,,,,232.1,264.5,209.0,1087.7,1231.8,1007.0,9.7,11.7,8.0,,201.6,231.9,187.0,RB,2025-08-22 10:37:50,ENVELOPE,31.4,36.6,24.4,259.0,284.3,212.9,1.9,2.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Brown CIN,,,,,,,,,,,,,,242.9,263.0,211.0,1011.2,1105.0,882.0,8.1,9.0,7.0,,201.4,232.6,183.0,RB,2025-08-22 10:37:50,ENVELOPE,54.6,64.4,40.8,382.9,426.7,292.8,2.7,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Conner ARI,,,,,,,,,,,,,,217.8,231.5,206.0,985.2,1048.3,951.0,8.1,9.4,7.0,,185.2,219.3,170.0,RB,2025-08-22 10:37:50,ENVELOPE,40.8,45.6,36.1,312.8,373.0,265.9,1.7,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Walker III SEA,,,,,,,,,,,,,,239.0,281.7,215.2,981.8,1172.6,899.0,8.3,10.0,7.0,,183.3,215.4,169.0,RB,2025-08-22 10:37:50,ENVELOPE,42.9,51.0,30.0,304.5,364.2,220.0,1.3,1.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard CAR,,,,,,,,,,,,,,246.3,275.4,213.0,1087.8,1237.4,986.0,8.0,9.0,7.0,,182.2,212.8,159.0,RB,2025-08-22 10:37:50,ENVELOPE,37.9,48.2,28.0,230.7,291.7,183.0,1.0,1.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omarion Hampton LAC,,,,,,,,,,,,,,225.0,255.4,183.6,977.7,1144.1,802.0,8.5,10.8,6.7,,181.2,225.1,139.0,RB,2025-08-22 10:37:50,ENVELOPE,35.7,40.7,28.0,276.8,300.4,255.0,1.5,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall NYJ,,,,,,,,,,,,,,221.3,247.2,190.0,988.7,1112.7,869.0,5.8,7.6,5.0,,180.6,216.6,166.0,RB,2025-08-22 10:37:50,ENVELOPE,46.4,51.0,43.0,380.1,455.0,322.5,2.1,3.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Kamara NO,,,,,,,,,,,,,,223.0,246.0,199.0,927.3,1088.0,817.0,5.3,6.0,5.0,,180.4,228.0,173.2,RB,2025-08-22 10:37:50,ENVELOPE,62.2,71.0,44.0,470.0,575.1,298.7,2.0,2.2,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Montgomery DET,,,,,,,,,,,,,,199.1,209.0,190.5,836.7,870.0,786.0,9.0,10.0,8.0,,166.7,181.6,153.0,RB,2025-08-22 10:37:50,ENVELOPE,31.4,36.1,26.0,257.7,292.0,220.0,0.9,1.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Andre Swift CHI,,,,,,,,,,,,,,237.0,251.6,217.5,961.3,1035.5,849.0,6.1,8.4,5.0,,166.5,189.4,155.0,RB,2025-08-22 10:37:50,ENVELOPE,36.6,43.0,24.5,284.1,364.0,177.7,1.2,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreVeyon Henderson NE,,,,,,,,,,,,,,210.6,225.5,179.0,925.2,1037.0,805.0,5.9,6.0,5.7,,160.1,202.2,150.9,RB,2025-08-22 10:37:50,ENVELOPE,33.7,42.7,16.1,263.0,329.0,125.1,1.5,2.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard TEN,,,,,,,,,,,,,,233.3,255.0,217.6,979.8,1045.0,918.0,5.5,6.0,5.0,1.0,160.0,200.8,133.0,RB,2025-08-22 10:37:50,ENVELOPE,40.0,45.4,32.6,257.5,293.4,196.1,0.9,1.2,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones Sr. MIN,,,,,,,,,,,,,,198.2,224.2,179.5,887.1,1001.7,796.6,4.4,5.5,4.0,,157.9,188.3,150.0,RB,2025-08-22 10:37:50,ENVELOPE,44.8,51.7,36.0,328.8,390.2,261.7,2.3,3.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isiah Pacheco KC,,,,,,,,,,,,,,203.0,213.4,188.0,836.0,934.2,713.0,5.7,6.9,4.0,,145.0,183.4,95.0,RB,2025-08-22 10:37:50,ENVELOPE,33.3,42.6,28.0,228.2,301.2,182.0,1.1,1.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Harvey DEN,,,,,,,,,,,,,,182.5,204.0,153.1,791.6,879.0,678.2,5.4,6.0,4.6,,144.5,199.5,125.8,RB,2025-08-22 10:37:50,ENVELOPE,33.6,45.9,17.2,257.4,353.3,128.8,1.6,2.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Mixon HOU,,,,,,,,,,,,,,184.5,192.5,177.0,736.1,814.3,690.0,6.6,8.0,5.4,,143.1,166.9,132.2,RB,2025-08-22 10:37:50,ENVELOPE,31.0,38.0,26.0,237.1,316.0,194.0,1.3,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaleb Johnson PIT,,,,,,,,,,,,,,196.7,228.9,140.0,828.7,975.5,619.2,6.4,8.0,4.6,,141.8,179.5,115.0,RB,2025-08-22 10:37:50,ENVELOPE,23.2,28.0,14.0,178.0,202.0,142.0,1.0,1.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Tracy Jr. NYG,,,,,,,,,,,,,,189.4,218.3,174.0,806.8,948.6,745.0,5.0,6.0,4.0,,139.8,166.9,114.0,RB,2025-08-22 10:37:50,ENVELOPE,35.4,39.4,29.8,261.0,297.3,207.7,1.1,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren PIT,,,,,,,,,,,,,,149.6,180.0,124.0,682.5,800.6,541.0,3.6,4.6,2.0,,129.0,183.0,85.0,RB,2025-08-22 10:37:50,ENVELOPE,47.5,56.0,40.6,347.2,407.4,275.7,1.1,1.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinshon Judkins CLE,,,,,,,,,,,,,,184.2,192.6,177.0,754.2,840.9,677.0,5.0,5.2,0.0,,126.4,141.8,100.0,RB,2025-08-22 10:37:50,ENVELOPE,23.0,31.0,17.0,173.9,221.8,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason MIN,,,,,,,,,,,,,,163.6,181.0,141.9,753.7,913.0,640.8,4.6,5.2,3.8,,117.9,142.0,109.0,RB,2025-08-22 10:37:50,ENVELOPE,16.9,20.0,13.3,123.5,145.0,88.9,0.7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Ekeler WAS,,,,,,,,,,,,,,101.8,151.4,79.7,452.9,649.2,347.4,4.5,6.8,3.7,1.0,117.7,172.8,92.0,RB,2025-08-22 10:37:50,ENVELOPE,45.1,50.5,38.0,369.4,421.0,290.0,1.7,2.5,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins DEN,,,,,,,,,,,,,,145.9,156.9,138.8,648.7,707.3,590.0,4.7,5.7,3.0,,116.8,162.5,93.0,RB,2025-08-22 10:37:50,ENVELOPE,29.1,38.0,18.0,187.5,275.0,108.0,1.2,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Etienne Jr. JAC,,,,,,,,,,,,,,147.5,170.8,129.1,596.8,729.1,531.9,3.9,4.6,2.6,,116.5,160.7,93.0,RB,2025-08-22 10:37:50,ENVELOPE,38.4,43.9,31.0,284.9,333.3,211.0,1.2,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson NE,,,,,,,,,,,,,,154.2,186.4,110.3,630.2,776.5,479.6,4.9,6.8,2.8,,113.8,145.1,94.1,RB,2025-08-22 10:37:50,ENVELOPE,28.0,33.0,25.0,177.7,198.9,153.6,1.1,1.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams DAL,,,,,,,,,,,,,,167.8,197.3,123.0,623.0,811.1,440.0,4.2,5.5,3.0,,112.5,145.6,76.0,RB,2025-08-22 10:37:50,ENVELOPE,32.8,39.0,24.0,208.2,253.0,170.0,0.9,1.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Charbonnet SEA,,,,,,,,,,,,,,129.0,168.4,105.7,544.4,715.7,459.3,4.5,6.0,3.3,,109.6,146.6,87.0,RB,2025-08-22 10:37:50,ENVELOPE,32.9,39.0,25.5,241.8,294.0,186.9,0.9,1.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Bigsby JAC,,,,,,,,,,,,,,160.7,182.0,131.0,645.8,827.0,435.0,5.2,8.0,4.0,,102.8,125.5,83.4,RB,2025-08-22 10:37:50,ENVELOPE,11.4,17.1,6.0,83.2,122.2,43.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacory Croskey-Merritt WAS,,,,,,,,,,,,,,132.3,176.7,97.4,554.1,745.7,399.8,4.6,5.6,3.7,,99.3,132.1,73.5,RB,2025-08-22 10:37:50,ENVELOPE,16.5,24.0,12.0,131.8,222.0,88.1,0.8,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyjae Spears TEN,,,,,,,,,,,,,,117.2,133.1,91.0,473.8,561.3,372.0,3.5,4.1,3.0,,97.8,128.7,77.0,RB,2025-08-22 10:37:50,ENVELOPE,33.4,39.9,24.3,250.4,299.4,176.7,1.0,1.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachaad White TB,,,,,,,,,,,,,,107.3,116.0,93.0,439.5,510.0,370.0,2.7,3.0,2.0,,97.8,116.6,92.0,RB,2025-08-22 10:37:50,ENVELOPE,36.4,50.0,30.0,275.6,372.0,231.0,2.1,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Najee Harris LAC,,,,,,,,,,,,,,129.9,150.0,113.1,531.6,599.0,456.8,4.4,5.0,4.0,,97.7,131.1,82.0,RB,2025-08-22 10:37:50,ENVELOPE,20.8,29.0,12.9,150.3,215.0,86.9,0.8,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Ford CLE,,,,,,,,,,,,,,135.4,218.4,90.0,547.2,932.3,390.0,2.9,4.4,2.0,,97.4,165.1,68.0,RB,2025-08-22 10:37:50,ENVELOPE,30.8,35.0,25.3,212.1,237.0,168.5,0.9,1.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Skattebo NYG,,,,,,,,,,,,,,120.4,147.0,92.0,526.6,635.3,416.0,3.4,4.0,3.0,,94.7,128.7,72.0,RB,2025-08-22 10:37:50,ENVELOPE,24.2,28.5,19.6,185.9,211.0,152.4,0.9,1.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Benson ARI,,,,,,,,,,,,,,127.3,150.0,108.0,567.1,735.0,477.0,3.7,4.0,3.0,,90.4,121.3,80.1,RB,2025-08-22 10:37:50,ENVELOPE,13.7,23.0,5.0,105.2,171.0,48.0,0.4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Robinson Jr. WAS,,,,,,,,,,,,,,116.5,161.0,15.1,491.7,678.0,63.7,4.4,6.4,0.5,,90.1,121.6,14.7,RB,2025-08-22 10:37:50,ENVELOPE,15.7,23.0,4.2,119.8,178.0,27.8,0.8,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Chubb HOU,,,,,,,,,,,,,,127.9,164.0,80.9,522.5,653.0,395.1,4.6,6.0,2.9,,89.2,102.4,69.7,RB,2025-08-22 10:37:50,ENVELOPE,10.6,12.0,8.5,80.0,88.0,65.6,0.4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Wright MIA,,,,,,,,,,,,,,135.6,152.0,104.8,552.9,636.9,444.8,3.4,4.0,2.8,,86.0,116.0,67.0,RB,2025-08-22 10:37:50,ENVELOPE,14.1,22.0,3.0,98.2,165.0,10.0,0.6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
