name,pos,proj,high,low
Case Keenum,QB,6.3,8.0,2.1
Jake Haener,QB,5.4,7.0,0.0
Josh Johnson,QB,5.0,8.0,0.0
Cam Miller,QB,4.8,8.0,0.0
Graham Mertz,QB,4.8,8.0,0.0
Kyle McCord,QB,4.8,8.0,0.0
Will Howard,QB,4.7,8.0,0.0
Clayton Tune,QB,2.9,5.0,0.0
Saquon Barkley,RB,273.7,303.2,262.0
Bijan Robinson,RB,264.4,309.4,243.0
Jahmyr Gibbs,RB,258.7,303.5,248.0
Derrick Henry,RB,252.3,265.5,238.9
Christian McCaffrey,RB,232.2,297.2,203.0
Jonathan Taylor,RB,230.1,255.5,210.0
Josh Jacobs,RB,229.2,258.0,226.1
Ashton Jeanty,RB,218.5,269.7,199.0
Kyren Williams,RB,217.9,243.7,214.0
De'Von Achane,RB,215.2,267.8,175.0
Bucky Irving,RB,206.3,238.5,195.0
James Cook,RB,201.6,231.9,187.0
Chase Brown,RB,201.4,232.6,183.0
James Conner,RB,185.2,219.3,170.0
Kenneth Walker III,RB,183.3,215.4,169.0
Chuba Hubbard,RB,182.2,212.8,159.0
Omarion Hampton,RB,181.2,225.1,139.0
Breece Hall,RB,180.6,216.6,166.0
Alvin Kamara,RB,180.4,228.0,173.2
David Montgomery,RB,166.7,181.6,153.0
D'Andre Swift,RB,166.5,189.4,155.0
TreVeyon Henderson,RB,160.1,202.2,150.9
Tony Pollard,RB,160.0,200.8,133.0
Aaron Jones Sr.,RB,157.9,188.3,150.0
Isiah Pacheco,RB,145.0,183.4,95.0
RJ Harvey,RB,144.5,199.5,125.8
Joe Mixon,RB,143.1,166.9,132.2
Kaleb Johnson,RB,141.8,179.5,115.0
Tyrone Tracy Jr.,RB,139.8,166.9,114.0
Jaylen Warren,RB,129.0,183.0,85.0
Quinshon Judkins,RB,126.4,141.8,100.0
Jordan Mason,RB,117.9,142.0,109.0
Austin Ekeler,RB,117.7,172.8,92.0
J.K. Dobbins,RB,116.8,162.5,93.0
Travis Etienne Jr.,RB,116.5,160.7,93.0
Rhamondre Stevenson,RB,113.8,145.1,94.1
Javonte Williams,RB,112.5,145.6,76.0
Zach Charbonnet,RB,109.6,146.6,87.0
Tank Bigsby,RB,102.8,125.5,83.4
Jacory Croskey-Merritt,RB,99.3,132.1,73.5
Tyjae Spears,RB,97.8,128.7,77.0
Rachaad White,RB,97.8,116.6,92.0
Najee Harris,RB,97.7,131.1,82.0
Jerome Ford,RB,97.4,165.1,68.0
Cam Skattebo,RB,94.7,128.7,72.0
Trey Benson,RB,90.4,121.3,80.1
Brian Robinson Jr.,RB,90.1,121.6,14.7
Nick Chubb,RB,89.2,102.4,69.7
Jaylen Wright,RB,86.0,116.0,67.0
Tyler Allgeier,RB,84.3,114.8,69.0
Jaydon Blue,RB,84.0,122.3,63.3
Dylan Sampson,RB,83.5,136.3,46.8
Ray Davis,RB,82.6,119.1,58.0
Isaac Guerendo,RB,78.8,86.5,60.4
Braelon Allen,RB,76.5,87.8,70.3
Rico Dowdle,RB,74.2,107.1,62.3
Bhayshul Tuten,RB,72.2,105.9,41.7
Roschon Johnson,RB,71.5,91.2,63.8
MarShawn Lloyd,RB,69.2,96.7,32.7
Kareem Hunt,RB,68.7,90.7,53.0
Miles Sanders,RB,64.4,89.0,51.8
Kendre Miller,RB,63.2,100.0,48.7
Woody Marks,RB,61.7,107.4,50.2
Raheem Mostert,RB,59.4,80.0,36.9
Justice Hill,RB,56.6,86.9,40.6
Blake Corum,RB,54.0,93.0,43.6
Ty Johnson,RB,51.3,69.0,40.3
Keaton Mitchell,RB,49.9,64.0,25.6
Ollie Gordon II,RB,47.9,83.0,24.8
Samaje Perine,RB,44.2,50.4,41.0
Jarquez Hunter,RB,43.8,53.0,22.4
Tahj Brooks,RB,43.7,68.5,17.2
Antonio Gibson,RB,42.6,73.9,8.1
Elijah Mitchell,RB,40.9,55.0,23.0
Kenneth Gainwell,RB,39.8,51.0,23.0
Kyle Monangai,RB,39.3,67.0,13.0
Devin Singletary,RB,39.2,57.4,12.8
Trevor Etienne,RB,38.3,56.0,17.4
Khalil Herbert,RB,36.5,82.6,3.7
Will Shipley,RB,36.3,74.2,13.1
Sean Tucker,RB,36.1,75.0,16.0
Devin Neal,RB,35.9,75.0,14.0
Jaleel McLaughlin,RB,34.3,87.3,11.2
Zamir White,RB,33.5,91.0,0.0
A.J. Dillon,RB,32.7,68.4,9.4
Emanuel Wilson,RB,31.9,68.8,6.5
DJ Giddens,RB,30.3,77.6,13.5
Jordan James,RB,26.0,44.4,14.0
Audric Estime,RB,25.1,54.5,3.6
Isaiah Davis,RB,24.6,30.9,17.0
Chris Rodriguez Jr.,RB,24.1,45.4,0.0
Kyle Juszczyk,RB,24.1,33.0,15.3
Chris Brooks,RB,22.9,25.3,17.0
Clyde Edwards-Helaire,RB,20.3,37.7,7.3
Tyler Goodson,RB,20.1,38.0,1.4
Kimani Vidal,RB,20.1,56.7,4.7
Brashard Smith,RB,19.3,53.7,7.3
Emari Demercado,RB,19.1,26.0,12.0
Pierre Strong Jr.,RB,18.3,43.5,6.0
Ty Chandler,RB,17.7,32.8,6.5
Cam Akers,RB,16.1,47.5,0.0
Kalel Mullings,RB,15.8,27.9,7.8
Damien Martinez,RB,15.8,28.7,6.9
Jeff Wilson Jr.,RB,15.6,47.2,0.0
Dameon Pierce,RB,15.4,44.3,1.0
Rasheen Ali,RB,13.6,25.3,5.4
Jeremy McNichols,RB,13.4,19.0,4.8
Michael Burton,RB,13.0,14.0,6.8
Craig Reynolds,RB,12.3,34.5,5.5
Ronnie Rivers,RB,12.2,34.8,0.0
Travis Homer,RB,12.1,33.6,2.8
Alec Ingold,RB,11.7,17.1,6.5
C.J. Ham,RB,11.3,14.0,4.6
Michael Carter,RB,11.3,35.5,0.0
LeQuint Allen Jr.,RB,10.6,24.9,2.3
Jordan Mims,RB,10.6,22.9,0.0
Raheem Blackshear,RB,10.4,35.6,2.0
Carson Steele,RB,10.2,16.0,4.4
Hassan Haskins,RB,8.6,15.0,0.0
Dare Ogunbowale,RB,8.3,13.9,6.9
Julius Chestnut,RB,8.2,29.1,0.6
Frank Gore Jr.,RB,7.7,17.1,0.0
Patrick Ricard,RB,7.4,12.0,3.7
Deuce Vaughn,RB,7.0,20.9,0.0
Gary Brightwell,RB,6.9,15.8,0.0
Eric Gray,RB,6.0,17.1,0.8
Jashaun Corbin,RB,5.7,7.7,4.7
