pick,window,pos,name,rel_baseline,survival,proj_pts,low,high,floor_rel_baseline,ceiling_rel_baseline
24,Pick 33,WR,Jerry Jeudy,0.7857312864453172,0.987,,,,,
24,Pick 33,WR,Deebo Samuel Sr.,0.7856717838867071,1.0,,,,,
24,Pick 33,WR,Jakobi Meyers,0.7635963346423897,1.0,,,,,
24,Pick 52,WR,DeVonta Smith,0.8192907295013685,0.7844,,,,,
24,Pick 52,WR,George Pickens,0.8175056527430679,0.7886,,,,,
24,Pick 52,WR,Jerry Jeudy,0.7857312864453172,0.8356,,,,,
24,Pick 52,WR,Deebo Samuel Sr.,0.7856717838867071,0.9574,,,,,
24,Pick 52,WR,Jakobi Meyers,0.7635963346423897,0.9414,,,,,
24,Pick 24,QB,C.J. Stroud,0.7319601654331738,1.0,,,,,
24,Pick 24,QB,Jordan Love,0.7241782760121898,1.0,,,,,
24,Pick 24,QB,Trevor Lawrence,0.7107640400522421,1.0,,,,,
24,Pick 24,QB,Drake Maye,0.7106552024379627,1.0,,,,,
24,Pick 24,QB,Matthew Stafford,0.6954723552459731,1.0,,,,,
24,Pick 33,QB,C.J. Stroud,0.7319601654331738,1.0,,,,,
24,Pick 33,QB,Jordan Love,0.7241782760121898,1.0,,,,,
24,Pick 33,QB,Trevor Lawrence,0.7107640400522421,1.0,,,,,
24,Pick 33,QB,Drake Maye,0.7106552024379627,1.0,,,,,
24,Pick 33,QB,Matthew Stafford,0.6954723552459731,1.0,,,,,
24,Pick 52,QB,C.J. Stroud,0.7319601654331738,1.0,,,,,
24,Pick 52,QB,Jordan Love,0.7241782760121898,1.0,,,,,
24,Pick 52,QB,Trevor Lawrence,0.7107640400522421,1.0,,,,,
24,Pick 52,QB,Drake Maye,0.7106552024379627,1.0,,,,,
24,Pick 52,QB,Matthew Stafford,0.6954723552459731,1.0,,,,,
24,Pick 24,TE,Darren Waller,0.5253109243697479,1.0,,,,,
24,Pick 24,TE,Hunter Henry,0.5246386554621849,1.0,,,,,
24,Pick 24,TE,Isaiah Likely,0.5173109243697479,1.0,,,,,
24,Pick 24,TE,Jonnu Smith,0.5152941176470589,1.0,,,,,
24,Pick 24,TE,Colston Loveland,0.5150252100840336,1.0,,,,,
24,Pick 33,TE,Darren Waller,0.5253109243697479,1.0,,,,,
24,Pick 33,TE,Hunter Henry,0.5246386554621849,1.0,,,,,
24,Pick 33,TE,Isaiah Likely,0.5173109243697479,1.0,,,,,
24,Pick 33,TE,Jonnu Smith,0.5152941176470589,1.0,,,,,
24,Pick 33,TE,Colston Loveland,0.5150252100840336,1.0,,,,,
24,Pick 52,TE,Darren Waller,0.5253109243697479,1.0,,,,,
24,Pick 52,TE,Hunter Henry,0.5246386554621849,1.0,,,,,
24,Pick 52,TE,Isaiah Likely,0.5173109243697479,1.0,,,,,
24,Pick 52,TE,Jonnu Smith,0.5152941176470589,1.0,,,,,
24,Pick 52,TE,Colston Loveland,0.5150252100840336,1.0,,,,,
33,Pick 33,RB,Alvin Kamara,0.9057631605742796,0.8282,,,,,
33,Pick 33,RB,Omarion Hampton,0.8924753080134407,0.7358,,,,,
33,Pick 33,RB,Chuba Hubbard,0.8897770084512779,0.8166,,,,,
33,Pick 33,RB,TreVeyon Henderson,0.7882598513389676,0.8668,,,,,
33,Pick 33,RB,J.K. Dobbins,0.6046736584869158,1.0,,,,,
33,Pick 52,RB,J.K. Dobbins,0.6046736584869158,1.0,,,,,
33,Pick 52,RB,Javonte Williams,0.5983097444252113,1.0,,,,,
33,Pick 52,RB,Jordan Mason,0.5979533652377559,1.0,,,,,
33,Pick 52,RB,Rhamondre Stevenson,0.5793707361775787,1.0,,,,,
33,Pick 52,RB,Travis Etienne Jr.,0.5763669687404541,1.0,,,,,
33,Pick 61,RB,J.K. Dobbins,0.6046736584869158,1.0,,,,,
33,Pick 61,RB,Javonte Williams,0.5983097444252113,1.0,,,,,
33,Pick 61,RB,Jordan Mason,0.5979533652377559,1.0,,,,,
33,Pick 61,RB,Rhamondre Stevenson,0.5793707361775787,1.0,,,,,
33,Pick 61,RB,Travis Etienne Jr.,0.5763669687404541,1.0,,,,,
33,Pick 33,WR,Calvin Ridley,0.8622071142406215,0.957,,,,,
33,Pick 33,WR,Jakobi Meyers,0.7789850673789002,1.0,,,,,
33,Pick 33,WR,Jaylen Waddle,0.7714580551171543,0.9856,,,,,
33,Pick 33,WR,Jauan Jennings,0.7642952531261381,1.0,,,,,
33,Pick 33,WR,Jayden Reed,0.7548864877989558,1.0,,,,,
33,Pick 52,WR,Calvin Ridley,0.8622071142406215,0.6922,,,,,
33,Pick 52,WR,Jakobi Meyers,0.7789850673789002,0.9414,,,,,
33,Pick 52,WR,Jaylen Waddle,0.7714580551171543,0.7902,,,,,
33,Pick 52,WR,Jauan Jennings,0.7642952531261381,1.0,,,,,
33,Pick 52,WR,Jayden Reed,0.7548864877989558,1.0,,,,,
33,Pick 61,WR,Jakobi Meyers,0.7789850673789002,0.8774,,,,,
33,Pick 61,WR,Jaylen Waddle,0.7714580551171543,0.6574,,,,,
33,Pick 61,WR,Jauan Jennings,0.7642952531261381,1.0,,,,,
33,Pick 61,WR,Jayden Reed,0.7548864877989558,1.0,,,,,
33,Pick 61,WR,Matthew Golden,0.7426247420177249,0.8436,,,,,
33,Pick 33,QB,Jordan Love,0.7241782760121898,1.0,,,,,
33,Pick 33,QB,Trevor Lawrence,0.7107640400522421,1.0,,,,,
33,Pick 33,QB,Drake Maye,0.7106552024379627,1.0,,,,,
33,Pick 33,QB,Matthew Stafford,0.6954723552459731,1.0,,,,,
33,Pick 33,QB,Tua Tagovailoa,0.6823846321288638,1.0,,,,,
33,Pick 52,QB,Jordan Love,0.7241782760121898,1.0,,,,,
33,Pick 52,QB,Trevor Lawrence,0.7107640400522421,1.0,,,,,
33,Pick 52,QB,Drake Maye,0.7106552024379627,1.0,,,,,
33,Pick 52,QB,Matthew Stafford,0.6954723552459731,1.0,,,,,
33,Pick 52,QB,Tua Tagovailoa,0.6823846321288638,1.0,,,,,
33,Pick 61,QB,Jordan Love,0.7241782760121898,1.0,,,,,
33,Pick 61,QB,Trevor Lawrence,0.7107640400522421,1.0,,,,,
33,Pick 61,QB,Drake Maye,0.7106552024379627,1.0,,,,,
33,Pick 61,QB,Matthew Stafford,0.6954723552459731,1.0,,,,,
33,Pick 61,QB,Tua Tagovailoa,0.6823846321288638,1.0,,,,,
33,Pick 33,TE,Isaiah Likely,0.5209532191456232,1.0,,,,,
33,Pick 33,TE,Jonnu Smith,0.5189222124433011,1.0,,,,,
33,Pick 33,TE,Colston Loveland,0.5186514115496581,1.0,,,,,
33,Pick 33,TE,Cade Otton,0.51607880306005,1.0,,,,,
33,Pick 33,TE,Brenton Strange,0.49881524609031214,1.0,,,,,
33,Pick 52,TE,Isaiah Likely,0.5209532191456232,1.0,,,,,
33,Pick 52,TE,Jonnu Smith,0.5189222124433011,1.0,,,,,
33,Pick 52,TE,Colston Loveland,0.5186514115496581,1.0,,,,,
33,Pick 52,TE,Cade Otton,0.51607880306005,1.0,,,,,
33,Pick 52,TE,Brenton Strange,0.49881524609031214,1.0,,,,,
33,Pick 61,TE,Isaiah Likely,0.5209532191456232,1.0,,,,,
33,Pick 61,TE,Jonnu Smith,0.5189222124433011,1.0,,,,,
33,Pick 61,TE,Colston Loveland,0.5186514115496581,1.0,,,,,
33,Pick 61,TE,Cade Otton,0.51607880306005,1.0,,,,,
33,Pick 61,TE,Brenton Strange,0.49881524609031214,1.0,,,,,
52,Pick 52,RB,Travis Etienne Jr.,0.6200569613320188,1.0,,,,,
52,Pick 52,RB,Austin Ekeler,0.6111841384598532,1.0,,,,,
52,Pick 52,RB,Zach Charbonnet,0.5963413298280206,1.0,,,,,
52,Pick 52,RB,Quinshon Judkins,0.5941505093657574,1.0,,,,,
52,Pick 52,RB,Najee Harris,0.5799101763610471,1.0,,,,,
52,Pick 61,RB,Travis Etienne Jr.,0.6200569613320188,1.0,,,,,
52,Pick 61,RB,Austin Ekeler,0.6111841384598532,1.0,,,,,
