simulation,pick_number,player_name,position,espn_rank
1,81,Tony Pollard,RB,68
1,82,Isiah Pacheco,RB,70
1,83,David Njoku,TE,85
1,84,Jakobi Meyers,WR,76
1,85,Jordan Addison,WR,78
1,86,Bo Nix,QB,87
1,87,Quinshon Judkins,RB,92
1,88,Kyler Murray,QB,88
2,1,Justin Jefferson,WR,3
2,2,Bijan Robinson,RB,2
2,3,Saquon Barkley,RB,4
2,4,Ja'Marr Chase,WR,1
2,6,Jahmyr Gibbs,RB,5
2,7,CeeDee Lamb,WR,6
2,8,Brian Thomas Jr.,WR,14
2,9,Malik Nabers,WR,9
2,10,Jonathan Taylor,RB,17
2,11,Christian McCaffrey,RB,7
2,12,Ashton Jeanty,RB,12
2,13,Puka Nacua,WR,8
2,14,Tyreek Hill,WR,25
2,15,Amon-Ra St. Brown,WR,10
2,16,A.J. Brown,WR,15
2,17,Nico Collins,WR,13
2,18,Trey McBride,TE,21
2,19,Drake London,WR,16
2,20,Derrick Henry,RB,11
2,21,Lamar Jackson,QB,29
2,22,Ladd McConkey,WR,27
2,23,Josh Allen,QB,28
2,25,De'Von Achane,RB,18
2,26,Brock Bowers,TE,20
2,27,Josh Jacobs,RB,19
2,28,Tee Higgins,WR,24
2,29,Bucky Irving,RB,23
2,30,Kyren Williams,RB,22
2,31,Jayden Daniels,QB,30
2,32,Davante Adams,WR,26
2,34,Jaxon Smith-Njigba,WR,36
2,35,TreVeyon Henderson,RB,44
2,36,Chase Brown,RB,32
2,37,Jalen Hurts,QB,31
2,38,Garrett Wilson,WR,48
2,39,Mike Evans,WR,35
2,40,Terry McLaurin,WR,34
2,41,Joe Burrow,QB,39
2,42,Chuba Hubbard,RB,41
2,43,D'Andre Swift,RB,52
2,44,Omarion Hampton,RB,37
2,45,Courtland Sutton,WR,53
2,46,James Cook,RB,33
2,47,Kenneth Walker III,RB,38
2,48,George Kittle,TE,40
2,49,Breece Hall,RB,45
2,50,Xavier Worthy,WR,46
2,51,James Conner,RB,43
2,53,Marvin Harrison Jr.,WR,47
2,54,Alvin Kamara,RB,42
2,55,Jameson Williams,WR,56
2,56,Travis Hunter,WR,66
2,57,DeVonta Smith,WR,57
2,58,DK Metcalf,WR,49
2,59,Calvin Ridley,WR,51
2,60,Tony Pollard,RB,68
2,62,Zay Flowers,WR,50
2,63,T.J. Hockenson,TE,69
2,64,DJ Moore,WR,54
2,65,Rashee Rice,WR,55
2,66,George Pickens,WR,58
2,67,Jaylen Waddle,WR,59
2,68,Sam LaPorta,TE,61
2,69,Isiah Pacheco,RB,70
2,70,Deebo Samuel Sr.,WR,79
2,71,Rome Odunze,WR,60
2,72,Matthew Golden,WR,74
2,73,Baker Mayfield,QB,63
2,74,Patrick Mahomes,QB,62
2,75,RJ Harvey,RB,72
2,76,David Montgomery,RB,67
2,77,Aaron Jones,RB,71
2,78,Cooper Kupp,WR,75
2,79,Mark Andrews,TE,83
2,81,Bo Nix,QB,87
2,82,Chris Olave,WR,77
2,83,Tyrone Tracy Jr.,RB,81
2,84,Jerry Jeudy,WR,65
2,85,Jordan Addison,WR,78
2,86,Chris Godwin,WR,73
2,87,Jakobi Meyers,WR,76
2,88,Tetairoa McMillan,WR,64
3,1,Ja'Marr Chase,WR,1
3,2,Christian McCaffrey,RB,7
3,3,Bijan Robinson,RB,2
3,4,Justin Jefferson,WR,3
3,6,Jahmyr Gibbs,RB,5
3,7,Saquon Barkley,RB,4
3,8,CeeDee Lamb,WR,6
3,9,Amon-Ra St. Brown,WR,10
3,10,Malik Nabers,WR,9
3,11,Nico Collins,WR,13
3,12,Jonathan Taylor,RB,17
3,13,Brock Bowers,TE,20
3,14,Puka Nacua,WR,8
3,15,Kyren Williams,RB,22
3,16,Drake London,WR,16
3,17,Derrick Henry,RB,11
3,18,Trey McBride,TE,21
3,19,Ashton Jeanty,RB,12
3,20,A.J. Brown,WR,15
3,21,Tee Higgins,WR,24
3,22,De'Von Achane,RB,18
3,23,Jalen Hurts,QB,31
3,25,James Cook,RB,33
3,26,Tyreek Hill,WR,25
3,27,Lamar Jackson,QB,29
3,28,Davante Adams,WR,26
3,29,Bucky Irving,RB,23
3,30,Alvin Kamara,RB,42
